origin_id_pg,destination_id,destination_name,rank_diff,cost_diff,length_diff
32,7,McMahon Gas Plant,0,0.22,807.87
32,8,Kamloops,0,0.22,138.21
32,9,Castlegar,0,-1.38,-53578.04
32,10,Elkford,0,0.22,186.30
29,1,Terrace,0,0.21,708.03
29,2,Vancouver,0,0.20,75.76
29,3,Mackenzie,0,0.20,625.38
29,4,Prince George,0,0.20,386.89
29,5,Quesnel,0,0.20,228.40
29,6,Williams Lake,0,0.21,110.02
29,7,McMahon Gas Plant,0,0.21,754.96
29,8,Kamloops,0,0.21,85.30
29,9,Castlegar,0,-1.40,-53630.96
29,10,Elkford,0,0.20,133.38
33,1,Terrace,0,0.09,349.79
33,2,Vancouver,0,0.09,-282.48
33,3,Mackenzie,0,0.09,267.14
33,4,Prince George,0,0.10,28.65
33,5,Quesnel,0,0.09,-129.84
33,6,Williams Lake,0,0.09,-248.23
33,7,McMahon Gas Plant,0,0.09,396.72
33,8,Kamloops,0,0.09,-272.94
33,9,Castlegar,0,-1.51,-53989.20
33,10,Elkford,0,0.10,-224.85
35,1,Terrace,0,-0.08,-223.48
35,2,Vancouver,0,-0.09,-855.75
35,3,Mackenzie,0,-0.09,-306.13
35,4,Prince George,0,-0.08,-544.62
35,5,Quesnel,0,-0.09,-703.11
35,6,Williams Lake,0,-0.08,-821.51
35,7,McMahon Gas Plant,0,-0.08,-176.55
35,8,Kamloops,0,-0.08,-846.21
35,9,Castlegar,0,-1.69,-54562.47
35,10,Elkford,0,-0.08,-798.13
36,1,Terrace,0,-0.12,-349.41
36,2,Vancouver,0,-0.13,-981.68
36,3,Mackenzie,0,-0.13,-432.06
36,4,Prince George,0,-0.13,-670.56
36,5,Quesnel,0,-0.13,-829.04
36,6,Williams Lake,0,-0.12,-947.44
36,7,McMahon Gas Plant,0,-0.12,-302.48
36,8,Kamloops,0,-0.12,-972.14
36,9,Castlegar,0,-1.73,-54688.40
36,10,Elkford,0,-0.12,-924.06
37,1,Terrace,0,0.17,596.72
37,2,Vancouver,0,0.17,-35.55
37,3,Mackenzie,0,0.17,514.07
37,4,Prince George,0,0.17,275.58
37,5,Quesnel,0,0.17,117.09
37,6,Williams Lake,0,0.17,-1.29
37,7,McMahon Gas Plant,0,0.17,643.65
37,8,Kamloops,0,0.17,-26.01
37,9,Castlegar,0,-1.43,-53742.27
37,10,Elkford,0,0.17,22.08
38,1,Terrace,0,0.15,543.96
38,2,Vancouver,0,0.16,-88.31
38,3,Mackenzie,0,0.16,461.31
38,4,Prince George,0,0.15,222.82
38,5,Quesnel,0,0.15,64.33
38,6,Williams Lake,0,0.15,-54.05
38,7,McMahon Gas Plant,0,0.15,590.89
38,8,Kamloops,0,0.15,-78.77
38,9,Castlegar,0,-1.44,-53795.02
38,10,Elkford,0,0.15,-30.68
39,1,Terrace,0,0.00,52.14
39,2,Vancouver,0,0.00,-580.13
39,3,Mackenzie,0,0.00,-30.51
39,4,Prince George,0,-0.01,-269.01
39,5,Quesnel,0,0.00,-427.49
39,6,Williams Lake,0,0.00,-545.88
39,7,McMahon Gas Plant,0,0.00,99.07
39,8,Kamloops,0,0.00,-570.59
39,9,Castlegar,0,-1.60,-54286.85
39,10,Elkford,0,0.00,-522.50
40,1,Terrace,0,-0.21,-631.00
40,2,Vancouver,0,-0.21,-1263.27
40,3,Mackenzie,0,-0.21,-713.65
40,4,Prince George,0,-0.21,-952.14
40,5,Quesnel,0,-0.22,-1110.63
40,6,Williams Lake,0,-0.21,-1229.02
40,7,McMahon Gas Plant,0,-0.21,-584.07
40,8,Kamloops,0,-0.21,-1253.73
40,9,Castlegar,0,-1.81,-54969.99
40,10,Elkford,0,-0.21,-1205.64
41,1,Terrace,0,0.15,539.26
41,2,Vancouver,0,0.15,-93.01
41,3,Mackenzie,0,0.16,456.61
41,4,Prince George,0,0.15,218.12
41,5,Quesnel,0,0.15,59.63
41,6,Williams Lake,0,0.15,-58.76
41,7,McMahon Gas Plant,0,0.15,586.19
41,8,Kamloops,0,0.15,-83.47
41,9,Castlegar,0,-1.45,-53799.73
41,10,Elkford,0,0.15,-35.39
34,1,Terrace,0,-0.15,-451.33
34,2,Vancouver,0,-0.16,-1083.60
34,3,Mackenzie,0,-0.16,-533.98
34,4,Prince George,0,-0.15,-772.47
34,5,Quesnel,0,-0.16,-930.95
34,6,Williams Lake,0,-0.15,-1049.35
34,7,McMahon Gas Plant,0,-0.16,-404.40
